id,judul_berita,deskripsi_kejadian,lokasi_kejadian,waktu_kejadian,kategori_kejahatan,label_urgensi,sumber,url,scraped_at
158,Dalih Anak Mutilasi Ibu Kandung di Lahat Sumsel: Tak Diberi Uang untuk Judol,"Ahmad Fahrozi (23) tegamemutilasi ibu kandungnyaberinisial SA (63) di Lahat, Sumatera Selatan. Pelaku mengaku kesal tidak diberi uang oleh korban untuk bermain judionline(judol). Polisi berhasil mengamankan pelaku di sebuah penginapan yang berada di Kelurahan Bandar Agung, Kecamatan Lahat, Kabupaten Lahat, Rabu (8/4/2026) pagi. Pelaku ditangkap kurang dari 1x24 jam. ""Saat ini pelaku sudah diamankan di Mapolres Lahat guna penyidikan lebih lanjut,"" kata Kasat Reskrim Polres Lahat AKP M Ridho Pradani dari keterangan resmi yang diterima, seperti dilansirdetikSumbagsel. Berdasarkan hasil penyelidikan sementara, motif pelaku tega menghabisi nyawa ibu kandungnya diduga kecanduan judi slot. Pelaku kesal saat tidak diberi uang oleh korban untuk bermain judi slot. ""Diduga emosi yang disebabkan oleh korban tidak memberi uang saat pelaku meminta uang yang digunakan untuk bermain judi slot,"" ujarnya.",Bandar Agung,"Rabu, 08 Apr 2026 17:44",Pembunuhan,Tinggi,detik.com,https://news.detik.com/berita/d-8435219/dalih-anak-mutilasi-ibu-kandung-di-lahat-sumsel-tak-diberi-uang-untuk-judol,2026-04-28 13:27:00
159,Terungkap! Anak Mutilasi Ibunya di Lahat karena Kesal Tak Diberi Uang untuk Judol,"Ahmad Fahrozi (23), pelaku yang memutilasi ibu kandungnya inisial SA (63) sudah ditangkap polisi. Aksi itu dilakukan pelaku karena kesal tidak diberi uang oleh korban untuk bermain judi online. Kasat Reskrim Polres Lahat AKP M Ridho Pradani mengatakan pihaknya berhasil mengamankan pelaku di sebuah penginapan yang berada di Kelurahan Bandar Agung, Kecamatan Lahat, Kabupaten Lahat, Rabu (8/4/2026) pagi. ""Pelaku ditangkap di sebuah penginapan Kabupaten Lahat, ditangkap kurang dari 1x24 jam. Saat ini pelaku sudah diamankan di Mapolres Lahat guna penyidikan lebih lanjut,"" katanya dari keterangan resmi yang diterima. Berdasarkan hasil penyelidikan sementara, motif pelaku tega menghabisi nyawa ibu kandungnya karena diduga kecanduan judi slot. Pelaku kesal saat tidak diberi uang oleh korban untuk bermain judi slot. ""Diduga emosi yang disebabkan oleh korban tidak memberi uang saat pelaku meminta uang yang digunakan untuk bermain judi slot,"" ujarnya.",Bandar Agung,"Rabu, 08 Apr 2026 17:00",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8435019/terungkap-anak-mutilasi-ibunya-di-lahat-karena-kesal-tak-diberi-uang-untuk-judol,2026-04-28 13:27:03
160,Anak Tega Mutilasi Ibu Kandungnya di Lahat Sumsel,"Wanita berinisial SA (63) ditemukan tewas terkubur dantermutilasidi Lahat, Sumatera Selatan. Pelaku ternyata dibunuh anaknya, Ahmad Fahrozi (23). Kasat Reskrim Polres Lahat AKP M Ridho Pradani mengatakan pelaku ditangkap tidak lama setelah korban ditemukan. Pelaku diamankan di Kabupaten Lahat pada Rabu (8/4/2026) pagi. ""Pelaku anak kandung korban. Pelaku ditangkap di sebuah penginapan yang berada di kelurahan Bandar Agung, Kecamatan Lahat, Kabupaten Lahat. Ditangkap kurang dari 1x24 jam,"" kata Ridho saat dikonfirmasi, dilansirdetikSumbagsel, Rabu (8/4/2026). Korban dibunuh oleh pelaku di Desa Danau Belidang, Kecamatan Mulak Sebingkai, Lahat, Sabtu (28/3/2026) siang. Pelaku kemudian memutilasi korban dan memasukkannya ke 3 buah karung dan dikubur di Desa Karang Dalam, Kecamatan Pulau Pinang, Lahat. ""Saat ini pelaku sudah diamankan di Mapolres Lahat guna penyidikan lebih lanjut,"" ujarnya.",Lahat,"Rabu, 08 Apr 2026 16:33",Pembunuhan,Tinggi,detik.com,https://news.detik.com/berita/d-8435053/anak-tega-mutilasi-ibu-kandungnya-di-lahat-sumsel,2026-04-28 13:27:08
161,Anak yang Mutilasi Ibunya di Lahat Sempat Bakar Korban untuk Hilangkan Jejak,"Wanita lanjut usia (lansia) di Kabupaten Lahat berinisial SA (63) tewas setelah dimutilasi oleh anak kandungnya bernama Ahmad Fahrozi (23). Sebelum dimutilasi, jasad korban sempat dibakar oleh pelaku untuk menghilangkan jejak. Peristiwa itu terjadi di Desa Danau Belidang, Kecamatan Mulak Sebingkai, Kabupaten Lahat pada Sabtu (28/3/2026) sekitar pukul 11.00 WIB. Kasat Reskrim Polres Lahat Akp M Ridho Pradani mengatakan saat itu pelaku membacok korban pada bagian leher sebelah kanan, secara berkali-kali hingga nyaris putus menggunakan senjata tajam jenis parang. Kemudian pelaku langsung meninggalkan tubuh korban yang sudah tidak bernyawa. Pelaku kemudian mencari bensin untuk membakar jenazah korban guna menghilangkan jejak. ""Pelaku menyiramkan bensin ke seluruh tubuh korban dan langsung membakar tubuh korban tersebut,"" katanya dari keterangan resmi yang diterimadetikSumbagsel, Rabu (8/4/2026).",Mulak Sebingkai,"Rabu, 08 Apr 2026 15:40",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8434391/anak-yang-mutilasi-ibunya-di-lahat-sempat-bakar-korban-untuk-hilangkan-jejak,2026-04-28 13:27:10
162,"Pemutilasi Lansia di Lahat Ditangkap, Pelaku Ternyata Anak Korban","Pemutilasi wanita lanjut usia berinisial SA (63) di Lahat, Sumatera Selatan, ditangkap polisi. Pelaku ternyata anak korban bernama Ahmad Fahrozi (23). Kasat Reskrim Polres Lahat Akp M Ridho Pradani mengatakan pelaku ditangkap tidak lama setelah korban ditemukan. Pelaku diamankan di Kabupaten Lahat pada Rabu (8/4/2026) pagi. ""Pelaku anak kandung korban. Pelaku ditangkap di sebuah penginapan yang berada di kelurahan Bandar Agung, Kecamatan Lahat, Kabupaten Lahat. Ditangkap kurang dari 1x24 jam,"" katanya saat dikonfirmasi, Rabu (8/4/2026). Korban dibunuh oleh pelaku di Desa Danau Belidang, Kecamatan Mulak Sebingkai, Lahat, Sabtu (28/3/2026) siang. Pelaku kemudian memutilasi korban dan dimasukan ke dalam 3 buah karung dan di kubur di Desa Karang Dalam Kecamatan Pulau pinang, Lahat. ""Saat ini pelaku sudah diamankan di Mapolres Lahat guna penyidikan lebih lanjut,"" ujarnya. Diberitakan sebelumnya, seorang perempuan lanjut usia berinisial SA (63) di Kabupaten Lahat, Sumatera Selatan ditemukan tewas dimutilasi. Saat ditemukan jenazah korban sudah dalam kondisi terkubur dengan 3 potongan tubuh.",Lahat,"Rabu, 08 Apr 2026 14:20",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8434664/pemutilasi-lansia-di-lahat-ditangkap-pelaku-ternyata-anak-korban,2026-04-28 13:27:14
163,"Polisi Buru Pelaku Mutilasi Lansia di Lahat, Identitas Dikantongi","Wanita lanjut usia berinisial SA (63) di Kabupaten Lahat, Sumatera Selatan ditemukan tewas mengenaskan. Tubuhnya dalam kondisi sudah dimutilasi. Saat ini, identitas terduga pelaku sudah dikantongi dan sedang diburu polisi. Diketahui terduga pelaku berinisial AF yang merupakan salah satu anggota keluarga korban. Berdasarkan informasi yang diterima dari pihak kepolisian, anak korban mendapatkan informasi dari warga R, bahwa ada aktivitas penggalian tanah di kebun milik korban atas permintaan AF. ""Dari hasil penyelidikan awal, diketahui bahwa terduga pelaku berinisial AF, masih anggota keluarga korban,"" kata Kasi Humas Polres Lahat AKP Mastoni. Dugaan tersebut diperkuat dengan terduga pelaku tidak berada di rumah ataupun tempat penemuan jenazah korban. Hingga saat ini belum diketahui keberadaannya. ""Upaya pengejaran terhadap terduga pelaku juga terus dilakukan, dengan dugaan sementara bahwa pelaku telah melarikan diri ke luar daerah,"" ujarnya.",Lahat AKP Mastoni,"Rabu, 08 Apr 2026 13:40",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8434605/polisi-buru-pelaku-mutilasi-lansia-di-lahat-identitas-dikantongi,2026-04-28 13:27:18
164,"Lansia di Lahat Ditemukan Tewas-Dikubur, Diduga Korban Mutilasi","Warga di Kabupaten Lahat, Sumatera Selatan, digegerkan dengan penemuan mayat perempuan diduga korban mutilasi. Saat ditemukan tubuh korban sudah dalam posisi terkubur. Kejadian tersebut terjadi di Desa Karang Dalam, Kecamatan Pulau Pinang, Kabupaten Lahat pada Rabu (8/4/2026) sekitar pukul 00.15 WIB. Korban diketahui merupakan seorang wanita lanjut usia berinisial SA (63) warga Desa Karang Dalam. Kasi Humas Polres Lahat AKP Mastoni mengatakan penemuan jenazah dilaporkan pertama kali oleh saksi S (49) yang merupakan anak kandung korban. Saat itu saksi merasa curiga karena korban sudah tidak terlihat selama kurang lebih satu minggu. Karena tidak pulang, upaya pencarian kemudian dilakukan oleh pihak keluarga. Kemudian saksi mendapatkan informasi dari warga R bahwa ada aktivitas penggalian tanah di kebun milik korban atas permintaan seorang pria.",Lahat,"Rabu, 08 Apr 2026 12:20",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8434251/lansia-di-lahat-ditemukan-tewas-dikubur-diduga-korban-mutilasi,2026-04-28 13:27:22
165,Alasan JPU Tak Tuntut Alvi Pemutilasi Tiara dengan Hukuman Mati,"Alvi Maulana (24) lolos dari hukuman mati setelah membunuh dan memutilasi pacarnya, Tiara Angelina Saraswati (25) menjadi 621 potongan. Jaksa Penuntut Umum (JPU) menuntutnya dengan pidana penjara seumur hidup. Apa alasan jaksa? ""Kenapa kami jaksa penuntut umum tidak menuntut terdakwa (Alvi) hukuman mati, ya tentunya dalam KUHP yang baru, UU Nomor 1 Tahun 2023 terutama pada Pasal 98, hukuman pidana mati diancamnya secara alternatif sebagai upaya terakhir untuk mencegah dilakukannya tindak pidana dan dalam hal mengayomi masyarakat,"" terang Kasiintelijen Kejaksaan Negeri (Kejari) Kabupaten Mojokerto Denata Suryaningrat kepada wartawan di kantornya, Selasa (7/4/2026). Pasal 98 KUHP mengatur 'Pidana mati diancamkan secara alternatif sebagai upaya terakhir untuk mencegah dilakukannya tindak pidana dan mengayomi masyarakat'. Denata menjelaskan, dalam penjelasan Pasal 98 KUHP, pidana mati tidak dikelompokkan dalam pidana pokok. Menurutnya, pidana mati diatur dalam pasal tersendiri di UU Nomor 1 Tahun 2023 untuk menunjukkan kalau pidana mati merupakan pidana khusus sebagai upaya terakhir. ""Bahwa di dalam KUHP, pidana mati dijatuhkan dengan masa percobaan (selama 10 tahun). Sehingga diharapkan terdakwa dapat memperbaiki diri sehingga menjadi pribadi yang lebih baik tentunya. Maka daripada itu, JPU Kejaksaan Negeri Kabupaten Mojokerto sangat berhati-hati dalam menentukan tuntutan terhadap terdakwa,"" jelasnya. JPU menuntut Alvi dengan penjara seumur hidup, lanjut Denata, juga mempertimbangkan keadaan yang memberatkan dan meringankan terdakwa. Hal-hal yang memberatkan Alvi meliputi, perbuatannya dengan sengaja dan berencana telah merampas nyawa Tiara dengan cara memutilasi menjadi ratusan potong dan membuangnya. Sehingga sebagian potongan tubuh Tiara belum ditemukan.",,"Selasa, 07 Apr 2026 19:35",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8433786/alasan-jpu-tak-tuntut-alvi-pemutilasi-tiara-dengan-hukuman-mati,2026-04-28 13:27:34
166,Fakta-fakta Alvi Pemutilasi Tiara Lolos Tuntutan Hukuman Mati,"Alvi Maulana (24), terdakwa kasus pembunuhan disertai mutilasi sadis pacarnya, Tiara Angelina Saraswati (25) menjalani sidang agenda tuntutan. Dalam sidang ini, jaksa tak menuntut Alvi hukuman mati, namun penjara seumur hidup. Sidang pembacaan tuntutan terhadap Alvi digelar terbuka di ruangan Cakra, PN Mojokerto, Senin (6/4) sekitar pukul 11.18 WIB. Jalannya sidang dipimpin Ketua Majelis Hakim Jenny Tulak, serta hakim anggota Made C Buana dan Tri Sugondo. Tak sendirian, Alvi mengikuti sidang didampingi tim penasihat hukumnya dari LBH Rahmatan Lil Alamin Jombang. Sedangkan amar tuntutan dibacakan Ari Budiarti, JPU dari Kejaksaan Negeri (Kejari) Kabupaten Mojokerto. 1. Jaksa nilai Alvi langgar pembunuhan berencana Dalam tuntutannya, Ari menilai Alvi terbukti melakukan tindak pidana Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Yaitu dengan berencana terlebih dahulu merampas nyawa Tiara.",Mojokerto,"Selasa, 07 Apr 2026 09:30",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8432492/fakta-fakta-alvi-pemutilasi-tiara-lolos-tuntutan-hukuman-mati,2026-04-28 13:27:37
167,Wajah Sedih Alvi Pemutilasi Tiara Usai Lolos Tuntutan Hukuman Mati,"Alvi Maulana (24), terdakwa kasus pembunuhan disertai mutilasi sadis pacarnya, Tiara Angelina Saraswati (25) menjalani sidang agenda tuntutan. Dalam sidang ini, jaksa tak menuntut Alvi hukuman mati namun seumur hidup penjara. Sidang pembacaan tuntutan terhadap Alvi digelar terbuka di ruangan Cakra, PN Mojokerto, Senin (6/4) sekitar pukul 11.18 WIB. Jalannya sidang dipimpin Ketua Majelis Hakim Jenny Tulak, serta hakim anggota Made C Buana dan Tri Sugondo. Tak sendirian, Alvi mengikuti sidang didampingi tim penasihat hukumnya dari LBH Rahmatan Lil Alamin Jombang. Sedangkan amar tuntutan dibacakan Ari Budiarti, JPU dari Kejaksaan Negeri (Kejari) Kabupaten Mojokerto. Dalam tuntutannya, Ari menilai Alvi terbukti melakukan tindak pidana Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Yaitu dengan berencana terlebih dahulu merampas nyawa Tiara. ""Menjatuhkan pidana terhadap terdakwa berupa pidana penjara seumur hidup dengan perintah terdakwa tetap ditahan,"" kata Ari ketika membacakan tuntutan di ruang sidang.",Mojokerto,"Selasa, 07 Apr 2026 08:30",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8432455/wajah-sedih-alvi-pemutilasi-tiara-usai-lolos-tuntutan-hukuman-mati,2026-04-28 13:27:41
168,"Lolos Tuntutan Mati, Pengacara Bantah Alvi Lakukan Pembunuhan Berencana","Alvi Maulana (24) lolos dari pidana mati karena dituntut penjara seumur hidup oleh Jaksa Penuntut Umum (JPU) Kejari Kabupaten Mojokerto. Meski begitu, penasihat hukum Alvi merasa keberatan karena perbuatan kliennya bukan pembunuhan berencana. Selama menjalani persidangan di Pengadilan Negeri (PN) Mojokerto, Alvi didampingi tim penasihat hukum (PH) dari LBH Rahmatan Lil Alamin Jombang. Begitu pula ketika Alvi menjalani sidang tuntutan di ruangan Cakra siang tadi sekitar pukul 11.18 WIB. ""Kalau saya boleh menyampaikan (tuntutan JPU) sangat berat. Karena dari fakta persidangan tidak terbukti (pembunuhan) terencana,"" terang PH Alvi, Edi Haryanto kepada wartawan di lokasi, Senin (6/4/2026). Oleh sebab itu, lanjut Edi, pihaknya akan menyampaikan pembelaan atau pledoi untuk Alvi dalam sidang lanjutan pekan depan, Senin (13/4). Salah satu pertimbangannya yaitu keterangan saksi ahli psikologi forensik yang dihadirkan JPU dalam persidangan beberapa waktu lalu. ""Salah satunya dari fakta-fakta di persidangan kemarin, sebagaimana disampaikan saksi ahli psikologi forensik Dokkes Polda Jatim yang dihadirkan JPU, saksi ahli menyampaikan ini bukan peristiwa perecanaan, tapi ekspresi spontanitas,"" jelasnya. Sehingga, Edi menilai perbuatan Alvi membunuh dan memutilasi Tiara tidak memenuhi unsur Pasal 459 UU Nomor 1 Tahun 2023 tentang Pembunuhan Berencana. Menurutnya, Alvi hanya terbukti melakukan pembunuhan biasa sebagaimana ketentuan Pasal 458 KUHP baru.",Mojokerto,"Senin, 06 Apr 2026 19:45",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8432016/lolos-tuntutan-mati-pengacara-bantah-alvi-lakukan-pembunuhan-berencana,2026-04-28 13:27:44
169,Reaksi Alvi Pemutilasi Tiara Usai Dituntut Penjara Semur Hidup,"Alvi Maulana(24) dituntut penjara seumur hidup karena membunuh dan memutilasi pacarnya,Tiara Angelina Saraswati(25), menjadi 621 potongan. Meski lolos dari pidana mati, Alvi memasang ekspresi lemas seusai persidangan. DilansirdetikJatim, Senin (6/4/2026), Alvi tak mengucapkan sepatah kata pun saat ditanya wartawan ihwal tuntutan penjara seumur hidup yang baru saja dibacakan jaksa penuntut umum (JPU). Dia hanya diam saat dibawa keluar dari ruang sidang Cakara ke tahanan Pengadilan Negeri (PN) Mojokerto. ""Kami menghormati dan mengapresiasi rekan-rekan penuntut umum dari Kejaksaan Negeri Kabupaten Mojokerto. Apapun yang terjadi sudah menjadi kewajiban, hak dan kewenangan mereka. Meski agenda mereka sempat tertunda 1 minggu, tapi tetap sesuai hukum acara,"" kata penasihat hukum Alvi, Edi Haryanto. Tim penasihat hukum Alvi dari LBH Rahmatan Lil Alamin Jombang akan mengajukan pleidoi untuk Alvi pada sidang lanjutan pekan depan, Senin (13/4). Agenda sidang pembelaan telah dijadwalkan pada pekan depan. JPU menilai Alvi terbukti melakukan tindak pidana Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Alvi membunuh dan memutilasi Tiara di kamar kos lantai 2 pada Minggu (31/8) sekitar pukul 01.30 WIB.",Mojokerto,"Senin, 06 Apr 2026 16:12",Pembunuhan,Tinggi,detik.com,https://news.detik.com/berita/d-8431685/reaksi-alvi-pemutilasi-tiara-usai-dituntut-penjara-semur-hidup,2026-04-28 13:27:53
170,Alvi Pemutilasi Pacar Dituntut Bui Seumur Hidup,"Pelaku pembunuhan dan mutilasi pacar, Alvi Maulana (24) dituntut hukuman penjara seumur hidup. Jaksa menyebut perbuatan Alvi sangat keji. Dikutip daridetikJatim, tuntutan itu dibacakan Jaksa Penuntut Umum (JPU) Kejaksaan Negeri Kabupaten Mojokerto di ruangan Cakra, Pengadilan Negeri Mojokerto. Jalannya sidang dipimpin Ketua Majelis Hakim Jenny Tulak, serta hakim anggota Made C Buana dan Tri Sugondo. Alvi ditemani penasihat hukumnya dari LBH Rahmatan Lil Alamin Jombang saat mendengarkan tuntutan yang dibacakan Jaksa Penuntut Umum (JPU), Ari Budiarti. Ari menyebut terdakwa terbukti melakukan tindak pidana Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Yaitu dengan berencana terlebih dahulu merampas nyawa orang lain. Korbannya tak lain pacarnya sendiri, Tiara Angelina Saraswati (25) ""Menjatuhkan pidana terhadap terdakwa berupa pidana penjara seumur hidup dengan perintah terdakwa tetap ditahan,"" kata Ari ketika membacakan tuntutan di ruang sidang, Senin (6/4/2026).",Mojokerto,"Senin, 06 Apr 2026 16:04",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jateng/hukum-dan-kriminal/d-8431651/alvi-pemutilasi-pacar-dituntut-bui-seumur-hidup,2026-04-28 13:27:57
171,Alvi Pemutilasi Pacar Ratusan Potong Dituntut Hukuman Bui Seumur Hidup,"Alvi Maulana (24) terdakwa pembunuh dan memutilasi pacarnya, Tiara Angelina Saraswati (25), dituntut hukuman seumur hidup. Jaksa menyatakan perbuatan Alvi keji dan memintanya tetap dibui. Sidang tuntutan Alvi ini digelar di ruangan Cakra, PN Mojokerto, Jawa Timur, pukul 11.18 WIB tadi. Sidang dipimpin Ketua Majelis Hakim Jenny Tulak, dengan hakim anggota Made C Buana dan Tri Sugondo. Sedangkan Alvi didampingi tim penasihat hukum dari LBH Rahmatan Lil Alamin Jombang. Amar tuntutan dibacakan jaksa dari Kejari Kabupaten Mojokerto, Ari Budiarti. ""Mememinta majelis hakim menjatuhkan pidana terhadap terdakwa berupa pidana penjara seumur hidup dengan perintah terdakwa tetap ditahan,"" kata Ari ketika membacakan tuntutan di ruang sidang, dilansirdetikJatim,Senin (6/4/2026). Dalam tuntutannya, jaksa menilai Alvi terbukti melanggar Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Pasal itu menyebut berencana terlebih dahulu merampas nyawa orang lain, dalam kasus ini kekasihnya sendiri, Tiara. Jaksa menilai hal yang meringankan dalam kasus ini adalah Alvi belum pernah dihukum. Sedangkan hal yang memberatkan, jaksa menyebut Alvi telah sengaja dan berencana merampas nyawa Tiara dengan cara memutilasi menjadi ratusan potong dan membuangnya sehingga sebagian potongan tubuh korban belum ditemukan.",Mojokerto,"Senin, 06 Apr 2026 15:50",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jogja/berita/d-8431617/alvi-pemutilasi-pacar-ratusan-potong-dituntut-hukuman-bui-seumur-hidup,2026-04-28 13:28:01
172,Ekspresi Lemas Alvi Pemutilasi Tiara Dituntut Penjara Semur Hidup,"Meski lolos dari pidana mati setelah membunuh dan memutilasi pacarnya, Tiara Angelina Saraswati (25) menjadi 621 potongan, Alvi Maulana (24) lemas karena dituntut penjara seumur hidup. Pekan depan, tim penasihat hukumnya bakal mengajukan pembelaan. Alvi tak bisa menyembunyikan kesedihannya ketika dikeler dari ruang sidang Cakara ke tahanan Pengadilan Negeri (PN) Mojokerto. Langkahnya gontai dengan mata yang berkaca-kaca. Tak sepatah kata pun terlontar dari mulutnya saat ditanya wartawan ihwal tuntutan penjara seumur hidup yang baru saja dibacakan jaksa penuntut umum (JPU). Alvi hanya diam dan terus melangkah ke tahanan. ""Kami menghormati dan mengapresiasi rekan-rekan penuntut umum dari Kejaksaan Negeri Kabupaten Mojokerto. Apapun yang terjadi sudah menjadi kewajiban, hak dan kewenangan mereka. Meski agenda mereka sempat tertunda 1 minggu, tapi tetap sesuai hukum acara,"" kata Penasihat Hukum Alvi, Edi Haryanto di lokasi, Senin (6/4/2026). Tim penasihat hukum Alvi dari LBH Rahmatan Lil Alamin Jombang tentu tak akan berdiam diri. Mereka akan mengajukan pledoi untuk Alvi pada sidang lanjutan pekan depan, Senin (13/4). Agenda sidang pembelaan telah dijadwalkan oleh majelis hakim.",Mojokerto,"Senin, 06 Apr 2026 15:15",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8431307/ekspresi-lemas-alvi-pemutilasi-tiara-dituntut-penjara-semur-hidup,2026-04-28 13:28:05
173,Alvi Pemutilasi Lolos dari Hukuman Mati,"Alvi Maulana (24) lolos dari pidana mati. Ia merupakan pria yang membunuh dan memutilasi pacarnya, Tiara Angelina Saraswati (25). DikutipdetikJatim, sidang pembacaan tuntutan terhadap Alvi digelar terbuka di ruangan Cakra, PN Mojokerto sekitar pukul 11.18 WIB. Jalannya sidang dipimpin Ketua Majelis Hakim Jenny Tulak, serta hakim anggota Made C Buana dan Tri Sugondo. Alvi mengikuti sidang didampingi tim penasihat hukumnya dari LBH Rahmatan Lil Alamin Jombang. Sedangkan amar tuntutan dibacakan Ari Budiarti, Jaksa Penuntut Umum (JPU) Kejaksaan Negeri Kabupaten Mojokerto. Dalam tuntutannya, Ari menilai Alvi terbukti melakukan tindak pidana Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Yaitu dengan berencana terlebih dahulu merampas nyawa orang lain. Korbannya tak lain pacarnya sendiri, Tiara. ""Menjatuhkan pidana terhadap terdakwa berupa pidana penjara seumur hidup dengan perintah terdakwa tetap ditahan,"" kata Ari ketika membacakan tuntutan di ruang sidang, Senin (6/4/2026).",Mojokerto,"Senin, 06 Apr 2026 15:00",Pembunuhan,Tinggi,detik.com,https://www.detik.com/kalimantan/hukum-dan-kriminal/d-8431453/alvi-pemutilasi-lolos-dari-hukuman-mati,2026-04-28 13:28:12
174,Alvi Pemutilasi Tiara Lolos dari Hukuman Mati!,"Alvi Maulana (24) yang membunuh dan memutilasi pacarnya, Tiara Angelina Saraswati (25) lolos dari pidana mati. Sebab, Jaksa Penuntut Umum (JPU) Kejaksaan Negeri Kabupaten Mojokerto menuntut agar Alvi dijatuhi hukuman penjara seumur hidup. Sidang pembacaan tuntutan terhadap Alvi digelar terbuka di ruangan Cakra, PN Mojokerto sekitar pukul 11.18 WIB. Jalannya sidang dipimpin Ketua Majelis Hakim Jenny Tulak, serta hakim anggota Made C Buana dan Tri Sugondo. Tak sendirian, Alvi mengikuti sidang didampingi tim penasihat hukumnya dari LBH Rahmatan Lil Alamin Jombang. Sedangkan amar tuntutan dibacakan Ari Budiarti, JPU dari Kejaksaan Negeri (Kejari) Kabupaten Mojokerto. Dalam tuntutannya, Ari menilai Alvi terbukti melakukan tindak pidana Pasal 340 KUHP lama atau Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP. Yaitu dengan berencana terlebih dahulu merampas nyawa orang lain. Korbannya tak lain pacarnya sendiri, Tiara. ""Menjatuhkan pidana terhadap terdakwa berupa pidana penjara seumur hidup dengan perintah terdakwa tetap ditahan,"" kata Ari ketika membacakan tuntutan di ruang sidang, Senin (6/4/2026).",Mojokerto,"Senin, 06 Apr 2026 13:24",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8431254/alvi-pemutilasi-tiara-lolos-dari-hukuman-mati,2026-04-28 13:28:15
175,Murka Pria Bulukumba Mutilasi Ayahnya Usai Tak Diakui Sebagai Anak Kandung,"Pria berinisial S (35) di Kabupaten Bulukumba, Sulawesi Selatan (Sulsel), menggorok dan memutilasi ayahnya, Idris (61), karena tidak diakui sebagai anak kandung. Pelaku melakukan aksi keji itu dengan dibantu oleh tetangganya, pria berinisial ML. S dan ML awalnya mendatangi korban pada gubuk penampungan rumput laut di pesisir Kecamatan Gantarang, Senin (30/3) sekitar pukul 23.00 Wita. Setibanya di lokasi, kedua pelaku menemukan korban yang tengah tertidur pulas di dalam gubuk tersebut. ""Saat korban tertidur, ML menggorok leher korban menggunakan parang, sementara SS menusuk perut korban,"" ujar Kapolres Bulukumba AKBP Restu Wijayanto kepadadetikSulsel, Kamis (2/4/2026). Tidak sampai di situ, kedua pelaku juga tega memutilasi sejumlah bagian tubuh korban. Selanjutnya, bagian tubuh korban tersebut dimasukkan ke dalam jeriken. ""S menusuk perut korban, memotong usus, dan mengeluarkannya dari dalam perut korban. Usus tersebut kemudian dimasukkan ke dalam jeriken yang berada di dekat jasad korban,"" ujarnya. Restu mengatakan korban pertama kali ditemukan oleh anaknya yang lain pada Senin (30/3) pagi. Korban sebelumnya sempat dilaporkan tidak pulang selama tiga hari.",Bulukumba,"Jumat, 03 Apr 2026 06:30",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sulsel/hukum-dan-kriminal/d-8427301/murka-pria-bulukumba-mutilasi-ayahnya-usai-tak-diakui-sebagai-anak-kandung,2026-04-28 13:28:19
